time,P,G(i),H_sun,T2m,WS10m,Int
20190116:1110,73.57,99.33,18.15,3.64,4.0,0.0
20190116:1210,39.95,60.74,17.48,3.9,4.07,0.0
20190116:1310,189.83,225.33,14.46,3.87,4.0,0.0
20190116:1410,76.02,101.68,9.39,3.76,3.93,0.0
20190116:1510,0.0,5.44,2.68,3.34,4.0,0.0
20190116:1610,0.0,0.0,0.0,2.94,3.79,0.0
20190116:1710,0.0,0.0,0.0,2.44,3.93,0.0
20190116:1810,0.0,0.0,0.0,2.2,4.14,0.0
20190116:1910,0.0,0.0,0.0,1.9,4.48,0.0
20190116:2010,0.0,0.0,0.0,2.11,4.69,0.0
20190116:2110,0.0,0.0,0.0,2.38,4.97,0.0
20190116:2210,0.0,0.0,0.0,2.47,5.1,0.0
20190116:2310,0.0,0.0,0.0,2.49,5.24,0.0
20190117:0010,0.0,0.0,0.0,2.56,5.45,0.0
20190117:0110,0.0,0.0,0.0,2.68,5.59,0.0
20190117:0210,0.0,0.0,0.0,2.78,5.72,0.0
20190117:0310,0.0,0.0,0.0,2.61,5.66,0.0
20190117:0410,0.0,0.0,0.0,2.54,5.38,0.0
20190117:0510,0.0,0.0,0.0,2.71,5.24,0.0
20190117:0610,0.0,0.0,0.0,2.78,5.03,0.0
20190117:0710,0.0,0.0,0.0,3.06,4.48,0.0
20190117:0810,142.38,173.2,6.74,2.86,4.0,0.0
20190117:0910,76.51,101.76,12.6,2.85,3.72,0.0
20190117:1010,73.09,98.46,16.59,3.1,4.07,0.0
20190117:1110,171.63,205.6,18.34,3.54,4.62,0.0
20190117:1210,124.34,155.12,17.68,4.12,4.48,0.0
20190117:1310,165.97,199.94,14.67,4.45,4.55,0.0
20190117:1410,344.87,397.82,9.6,4.36,4.41,0.0
20190117:1510,0.0,5.44,2.88,3.78,4.41,0.0
20190117:1610,0.0,0.0,0.0,3.16,4.83,0.0
20190117:1710,0.0,0.0,0.0,2.75,5.1,0.0
20190117:1810,0.0,0.0,0.0,2.06,4.9,0.0
20190117:1910,0.0,0.0,0.0,1.86,4.48,0.0
20190117:2010,0.0,0.0,0.0,1.17,4.07,0.0
20190117:2110,0.0,0.0,0.0,0.6,4.14,0.0
20190117:2210,0.0,0.0,0.0,-0.03,4.07,0.0
20190117:2310,0.0,0.0,0.0,-0.31,4.21,0.0
20190118:0010,0.0,0.0,0.0,-0.54,4.34,0.0
20190118:0110,0.0,0.0,0.0,-0.8,4.21,0.0
20190118:0210,0.0,0.0,0.0,-1.09,3.86,0.0
20190118:0310,0.0,0.0,0.0,-1.15,4.34,0.0
20190118:0410,0.0,0.0,0.0,-1.36,4.14,0.0
20190118:0510,0.0,0.0,0.0,-1.56,3.86,0.0
20190118:0610,0.0,0.0,0.0,-1.88,3.38,0.0
20190118:0710,0.0,0.0,0.0,-1.92,2.69,0.0
20190118:0810,316.42,357.2,6.88,-2.07,2.48,0.0
20190118:0910,361.09,404.48,12.76,-1.98,2.41,0.0
20190118:1010,471.11,527.53,16.77,-1.58,2.69,0.0
20190118:1110,536.65,605.98,18.54,-0.79,2.55,0.0
20190118:1210,520.77,590.65,17.89,-0.44,2.14,0.0
20190118:1310,564.52,645.76,14.88,-0.03,1.86,0.0
20190118:1410,374.59,429.09,9.82,0.0,1.66,0.0
20190118:1510,2.56,10.88,3.09,-0.34,1.38,0.0
20190118:1610,0.0,0.0,0.0,-1.26,1.45,0.0
20190118:1710,0.0,0.0,0.0,-2.2,1.45,0.0
20190118:1810,0.0,0.0,0.0,-2.99,1.38,0.0
20190118:1910,0.0,0.0,0.0,-3.5,1.38,0.0
20190118:2010,0.0,0.0,0.0,-3.72,1.17,0.0
20190118:2110,0.0,0.0,0.0,-3.93,1.17,0.0
20190118:2210,0.0,0.0,0.0,-4.11,1.24,0.0
20190118:2310,0.0,0.0,0.0,-4.21,1.17,0.0
20190119:0010,0.0,0.0,0.0,-4.15,0.97,0.0
20190119:0110,0.0,0.0,0.0,-4.01,0.9,0.0
20190119:0210,0.0,0.0,0.0,-4.1,0.97,0.0
20190119:0310,0.0,0.0,0.0,-4.21,1.03,0.0
20190119:0410,0.0,0.0,0.0,-4.17,0.97,0.0
20190119:0510,0.0,0.0,0.0,-4.14,0.9,0.0
20190119:0610,0.0,0.0,0.0,-4.2,0.97,0.0
20190119:0710,0.0,0.0,0.0,-4.27,1.03,0.0
20190119:0810,348.03,391.58,7.02,-4.31,1.03,0.0
20190119:0910,354.17,399.01,12.93,-3.34,0.76,0.0
